Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.628455 0.340309 -0.368794 0.594327	0.609839 0.360167 -0.346079 0.61531	0.601392 0.36584 -0.338116 0.624633	0.589575 0.350896 -0.325492 0.650637	0.584761 0.34956 -0.322695 0.657062	0.559002 0.370921 -0.313155 0.672212	0.562699 0.370335 -0.334559 0.659008	0.668778 0.372854 -0.12802 0.630338	0.224792 -0.0349929 -0.623565 0.747938	-0.226943 -0.0159081 0.774369 -0.59042	-0.128353 -0.197705 0.765265 -0.599006	0.462234 0.240947 -0.389729 0.759207	0.604875 0.609855 0.227569 0.458711	0.761155 0.398044 0.355795 0.368257	0.716863 0.367578 0.382981 0.452016	0.722218 0.271742 -0.323646 0.54755	0.691424 0.288913 -0.308415 0.585955	0.660313 0.302536 -0.437078 0.530492	0.615105 0.356462 -0.271546 0.648724	0.544552 0.382687 -0.233137 0.708986	0.634781 0.346269 -0.273516 0.634302	
0.624042 0.347971 -0.37503 0.590627	0.60472 0.367252 -0.353216 0.612109	0.596093 0.372825 -0.345327 0.62163	0.584349 0.358234 -0.332678 0.647711	0.579697 0.35707 -0.329658 0.654047	0.5541 0.378789 -0.319756 0.668766	0.557966 0.377741 -0.340725 0.655661	0.666499 0.381286 -0.137106 0.625781	0.216217 -0.0234245 -0.627749 0.747417	-0.215845 -0.026638 0.782027 -0.584068	-0.121562 -0.2092 0.770791 -0.589355	0.454787 0.252586 -0.392933 0.758269	0.604437 0.620202 0.217538 0.450203	0.760306 0.414644 0.340498 0.366152	0.714458 0.385656 0.370484 0.451176	0.717275 0.279127 -0.332867 0.544798	0.681621 0.299493 -0.314668 0.588796	0.650498 0.318034 -0.435441 0.534881	0.61163 0.359961 -0.276804 0.647855	0.537556 0.387926 -0.236021 0.710521	0.632323 0.347637 -0.274602 0.635539	
0.619807 0.355782 -0.380998 0.5866	0.599681 0.374145 -0.360381 0.608707	0.591078 0.379432 -0.352779 0.618227	0.57911 0.36528 -0.339908 0.644721	0.574538 0.364336 -0.336623 0.651037	0.549051 0.386623 -0.326157 0.665347	0.552998 0.385259 -0.34646 0.652483	0.664129 0.389596 -0.145919 0.621172	0.208091 -0.012094 -0.631723 0.746645	-0.205116 -0.0370902 0.789336 -0.577495	-0.114739 -0.220218 0.776146 -0.5796	0.447266 0.263802 -0.395936 0.757361	0.603892 0.630552 0.206885 0.441494	0.758784 0.43189 0.324324 0.36405	0.711781 0.405524 0.356924 0.448913	0.711065 0.288803 -0.342859 0.541689	0.671455 0.312066 -0.32183 0.590075	0.641163 0.329771 -0.433279 0.540768	0.608489 0.363373 -0.282082 0.64663	0.530033 0.393421 -0.238392 0.712358	0.628802 0.349968 -0.276253 0.637036	
0.615425 0.364232 -0.386627 0.582329	0.594602 0.381258 -0.367666 0.604907	0.586123 0.386032 -0.360581 0.614345	0.573622 0.372203 -0.347303 0.641719	0.569073 0.37151 -0.343707 0.648076	0.543779 0.39453 -0.332458 0.661908	0.547763 0.392914 -0.351919 0.649406	0.661467 0.397671 -0.154842 0.61672	0.20022 -0.00101806 -0.635435 0.745744	-0.194566 -0.0472557 0.796402 -0.570661	-0.108422 -0.229452 0.781743 -0.569626	0.439779 0.274994 -0.398802 0.75626	0.603741 0.640691 0.195522 0.432183	0.756774 0.449758 0.30693 0.361669	0.708012 0.427044 0.342936 0.445812	0.704049 0.298891 -0.351649 0.539743	0.663253 0.323493 -0.329158 0.589154	0.630942 0.33443 -0.427692 0.55421	0.605817 0.366838 -0.288023 0.644561	0.521782 0.399531 -0.240628 0.714295	0.624361 0.352732 -0.278676 0.638822	
0.610789 0.372829 -0.391938 0.578204	0.589434 0.388657 -0.374432 0.601095	0.580996 0.392743 -0.368006 0.610547	0.568116 0.37874 -0.354969 0.63859	0.563544 0.378311 -0.351184 0.644957	0.538309 0.402311 -0.338703 0.658521	0.542303 0.400177 -0.35672 0.646928	0.658869 0.405207 -0.16366 0.612303	0.192822 0.00982496 -0.638993 0.744588	-0.184439 -0.0570884 0.802927 -0.563943	-0.101943 -0.237717 0.786642 -0.560618	0.432402 0.285896 -0.402102 0.754722	0.604157 0.650375 0.183635 0.422238	0.754223 0.468125 0.288438 0.358901	0.703382 0.447598 0.329638 0.442999	0.69799 0.308034 -0.358364 0.538052	0.656631 0.333497 -0.334797 0.587815	0.618298 0.336841 -0.423239 0.570189	0.604397 0.369458 -0.294478 0.641473	0.512276 0.405827 -0.241911 0.717187	0.618681 0.356821 -0.279843 0.64156	
0.606545 0.380677 -0.396342 0.574544	0.584593 0.395365 -0.380181 0.597829	0.575953 0.398736 -0.374467 0.607505	0.562399 0.384963 -0.362382 0.63576	0.557738 0.384835 -0.358716 0.641992	0.532791 0.409527 -0.345125 0.655217	0.536603 0.407057 -0.361315 0.644836	0.656112 0.412391 -0.172434 0.608043	0.186115 0.019935 -0.642151 0.743375	-0.17505 -0.0662863 0.809055 -0.55713	-0.096982 -0.247363 0.791024 -0.551078	0.425093 0.296491 -0.406112 0.752637	0.604458 0.659849 0.171289 0.412178	0.751317 0.486099 0.269692 0.355664	0.697544 0.467892 0.316104 0.441121	0.694557 0.312872 -0.361753 0.537435	0.651439 0.339611 -0.336776 0.58896	0.608101 0.341231 -0.42065 0.580369	0.603699 0.371508 -0.301238 0.637797	0.502192 0.412157 -0.242671 0.720445	0.611866 0.361878 -0.280715 0.644875	
0.602463 0.388226 -0.399923 0.571297	0.579666 0.401781 -0.385099 0.595196	0.570675 0.40449 -0.380028 0.605224	0.556283 0.390933 -0.369322 0.6335	0.551536 0.391131 -0.365954 0.639455	0.527266 0.416505 -0.351378 0.651957	0.531256 0.413499 -0.365907 0.642571	0.652839 0.419732 -0.181256 0.603964	0.179849 0.0292535 -0.644834 0.742286	-0.16618 -0.0747379 0.814756 -0.550428	-0.0924805 -0.256896 0.794672 -0.54217	0.417488 0.30665 -0.410339 0.750528	0.605093 0.669705 0.157365 0.400741	0.749159 0.503393 0.249655 0.350756	0.694336 0.488055 0.298877 0.436316	0.693557 0.313259 -0.362789 0.537802	0.646006 0.342584 -0.335237 0.594078	0.602994 0.346867 -0.419598 0.583112	0.603779 0.373249 -0.310177 0.632397	0.490143 0.419654 -0.243752 0.724041	0.603884 0.366226 -0.280319 0.650095	
0.59917 0.394731 -0.402258 0.568657	0.575431 0.406962 -0.388887 0.593319	0.565865 0.409158 -0.384318 0.603892	0.550153 0.396641 -0.375707 0.631547	0.545173 0.397215 -0.372853 0.637171	0.521318 0.423251 -0.357749 0.648924	0.526194 0.419337 -0.370568 0.640278	0.6492 0.42725 -0.189823 0.59997	0.174275 0.0380632 -0.647383 0.740996	-0.158075 -0.0826607 0.81983 -0.544112	-0.0873799 -0.263651 0.799119 -0.533162	0.409304 0.316214 -0.414164 0.748964	0.604936 0.679417 0.143218 0.389786	0.746867 0.51937 0.23028 0.345566	0.691018 0.506937 0.282689 0.430809	0.692301 0.313631 -0.364903 0.537773	0.639729 0.345962 -0.334408 0.599357	0.600819 0.350146 -0.416492 0.585619	0.605352 0.373457 -0.319242 0.62623	0.477081 0.42673 -0.243488 0.728704	0.594504 0.36932 -0.278071 0.657909	
0.595368 0.401059 -0.403914 0.567046	0.57052 0.41236 -0.391666 0.592506	0.560412 0.41421 -0.387404 0.603561	0.543738 0.402325 -0.380892 0.630401	0.538681 0.403204 -0.378595 0.635543	0.515598 0.430109 -0.363037 0.646041	0.521202 0.425411 -0.374602 0.638003	0.645339 0.434759 -0.198338 0.595973	0.167014 0.0486118 -0.649046 0.740596	-0.147698 -0.0918805 0.82483 -0.537958	-0.0828418 -0.269762 0.802947 -0.525016	0.401215 0.325551 -0.417565 0.747451	0.603842 0.68959 0.128005 0.378755	0.745375 0.533456 0.211124 0.33951	0.688453 0.523116 0.267719 0.425097	0.690972 0.313828 -0.367785 0.537405	0.63419 0.348799 -0.334803 0.603365	0.597291 0.354803 -0.411794 0.589733	0.609022 0.3721 -0.330826 0.617404	0.461597 0.434672 -0.242827 0.734182	0.582345 0.376586 -0.273817 0.666394	
0.590957 0.406603 -0.405421 0.566636	0.56477 0.417384 -0.393774 0.5931	0.553869 0.419267 -0.389407 0.604819	0.537077 0.407989 -0.384976 0.629989	0.532311 0.408984 -0.38317 0.634475	0.510038 0.436285 -0.367598 0.64373	0.516375 0.431058 -0.377914 0.636182	0.64125 0.441766 -0.2058 0.592695	0.160763 0.0581194 -0.650875 0.739689	-0.138575 -0.100098 0.829231 -0.532122	-0.0771769 -0.276682 0.806738 -0.516397	0.392746 0.334705 -0.419919 0.746586	0.601243 0.699771 0.113069 0.368841	0.744245 0.545226 0.193752 0.333599	0.687107 0.537084 0.253078 0.41878	0.690161 0.313425 -0.371288 0.536273	0.628405 0.351581 -0.335382 0.607468	0.594993 0.358641 -0.407462 0.592735	0.612083 0.372279 -0.346685 0.605452	0.444487 0.446072 -0.244544 0.737326	0.566658 0.387654 -0.270911 0.674707	
0.585061 0.413521 -0.406838 0.566733	0.557046 0.42337 -0.396403 0.594409	0.545149 0.42519 -0.391874 0.60701	0.529534 0.413253 -0.388709 0.630651	0.52565 0.413978 -0.386927 0.634509	0.504415 0.441278 -0.372009 0.642221	0.511651 0.435369 -0.381695 0.634804	0.638932 0.448036 -0.212822 0.587994	0.153897 0.0682965 -0.651904 0.739373	-0.128455 -0.108849 0.833642 -0.526015	-0.0718118 -0.28589 0.810329 -0.506436	0.384082 0.343354 -0.421437 0.746311	0.596919 0.710215 0.0982648 0.360037	0.743826 0.554473 0.178179 0.327925	0.687753 0.548235 0.239527 0.41117	0.68942 0.314426 -0.376369 0.533087	0.621784 0.356595 -0.336687 0.610628	0.593652 0.361887 -0.404462 0.59416	0.616272 0.373196 -0.366413 0.588791	0.425535 0.461274 -0.246496 0.738503	0.545982 0.405974 -0.268061 0.68208	
0.578601 0.421579 -0.408076 0.566539	0.548252 0.430355 -0.399065 0.595786	0.535174 0.431958 -0.394342 0.609504	0.520833 0.418226 -0.392121 0.632503	0.51814 0.418477 -0.390281 0.635679	0.499892 0.445497 -0.376567 0.640186	0.509903 0.438243 -0.385187 0.632118	0.633958 0.456055 -0.218612 0.585081	0.147761 0.0772243 -0.651604 0.74001	-0.119006 -0.116766 0.838248 -0.519176	-0.064993 -0.294922 0.81369 -0.496694	0.373537 0.351487 -0.421838 0.747649	0.590897 0.719876 0.0853732 0.354021	0.742544 0.562146 0.165614 0.324333	0.687423 0.55722 0.229168 0.405508	0.687469 0.317924 -0.38349 0.528437	0.61479 0.364053 -0.340008 0.611468	0.592543 0.364549 -0.402148 0.595209	0.622079 0.373982 -0.389161 0.567195	0.404639 0.479934 -0.246925 0.738213	0.518962 0.43009 -0.265506 0.689353	
0.572551 0.430083 -0.408697 0.565845	0.539278 0.438031 -0.400584 0.597361	0.524474 0.43935 -0.39553 0.612743	0.510858 0.423297 -0.394902 0.635528	0.509182 0.423052 -0.393337 0.638002	0.494567 0.449855 -0.380934 0.638688	0.507786 0.441198 -0.388729 0.629593	0.62844 0.464864 -0.222775 0.582525	0.142111 0.0856351 -0.649602 0.741949	-0.109626 -0.124543 0.84329 -0.511207	-0.0592189 -0.303711 0.817473 -0.485788	0.362634 0.358617 -0.421833 0.749631	0.58329 0.729155 0.0741524 0.350154	0.741343 0.567719 0.156081 0.322095	0.687437 0.563592 0.221002 0.401189	0.684731 0.32288 -0.392379 0.522428	0.607605 0.373082 -0.344997 0.610412	0.591205 0.367964 -0.400416 0.595605	0.627987 0.37447 -0.412346 0.543484	0.385791 0.499308 -0.246878 0.735465	0.488816 0.46074 -0.267617 0.690767	
0.567763 0.43809 -0.408895 0.564382	0.53055 0.445755 -0.400962 0.599207	0.513416 0.446881 -0.395313 0.61679	0.499683 0.428521 -0.397031 0.639572	0.49878 0.427771 -0.396256 0.641258	0.488417 0.454038 -0.385303 0.63784	0.505452 0.44357 -0.392604 0.627396	0.621904 0.474234 -0.225246 0.581035	0.136455 0.0943634 -0.645401 0.745609	-0.0993918 -0.132837 0.848897 -0.501846	-0.0535334 -0.314891 0.820839 -0.473499	0.351305 0.364495 -0.421749 0.752234	0.574831 0.738017 0.0639765 0.347573	0.740593 0.571508 0.148564 0.320669	0.68852 0.567399 0.214225 0.397625	0.682134 0.327928 -0.401964 0.515346	0.600316 0.38268 -0.35024 0.608694	0.589025 0.371089 -0.399536 0.596417	0.632729 0.375897 -0.435225 0.51859	0.369479 0.51962 -0.246402 0.729908	0.457763 0.500318 -0.276012 0.68114	
0.56341 0.445068 -0.408917 0.563268	0.521797 0.453199 -0.400102 0.601878	0.501998 0.454278 -0.393577 0.621874	0.487481 0.43402 -0.398333 0.644453	0.487118 0.432709 -0.398762 0.645343	0.481384 0.45797 -0.389904 0.637579	0.503118 0.445389 -0.396647 0.625437	0.613565 0.484459 -0.226639 0.580923	0.13078 0.103685 -0.639292 0.750634	-0.0882978 -0.141625 0.85448 -0.491944	-0.0469381 -0.324998 0.824671 -0.460534	0.33974 0.368848 -0.421343 0.755644	0.566305 0.746659 0.0534022 0.344887	0.740872 0.573855 0.141187 0.319163	0.689593 0.569848 0.209343 0.394854	0.679696 0.333 -0.412444 0.506966	0.593051 0.392817 -0.355941 0.606046	0.586307 0.374044 -0.399246 0.597442	0.635913 0.377729 -0.458237 0.492904	0.355189 0.540477 -0.246058 0.721928	0.4291 0.528896 -0.29268 0.671178	
0.558377 0.451249 -0.409091 0.563235	0.512466 0.460564 -0.398491 0.605363	0.490138 0.461577 -0.390975 0.627575	0.474659 0.439401 -0.398278 0.650385	0.474754 0.437484 -0.399873 0.650629	0.473885 0.461234 -0.393843 0.638423	0.500371 0.446465 -0.400686 0.624299	0.602622 0.495414 -0.226592 0.583153	0.124942 0.113813 -0.631362 0.756847	-0.0761654 -0.150873 0.859673 -0.482077	-0.0405608 -0.335118 0.828917 -0.446036	0.327813 0.371217 -0.420435 0.760244	0.556483 0.755164 0.0440409 0.343677	0.741372 0.57473 0.136118 0.318631	0.693412 0.569484 0.203596 0.391685	0.679043 0.335872 -0.421755 0.49821	0.586857 0.40126 -0.360108 0.604079	0.583464 0.376646 -0.399313 0.598546	0.638579 0.378674 -0.479731 0.467634	0.343899 0.559705 -0.245493 0.71288	0.406528 0.548964 -0.311403 0.660607	
0.552312 0.456218 -0.409068 0.565225	0.502991 0.466827 -0.396305 0.609931	0.478738 0.46798 -0.38769 0.633641	0.461789 0.444628 -0.396478 0.657162	0.462047 0.442183 -0.399191 0.656988	0.465977 0.463384 -0.396777 0.640866	0.497306 0.446502 -0.40423 0.624436	0.590401 0.506207 -0.225644 0.586741	0.119786 0.122909 -0.62238 0.763667	-0.0646804 -0.158971 0.864152 -0.47306	-0.0376447 -0.343791 0.832801 -0.432242	0.314573 0.371592 -0.418674 0.7666	0.546707 0.763551 0.0340557 0.341969	0.741952 0.575678 0.130274 0.318011	0.696007 0.570061 0.196274 0.389976	0.680023 0.336569 -0.429682 0.489554	0.581711 0.407865 -0.362699 0.603082	0.580356 0.377998 -0.399316 0.600709	0.641181 0.37863 -0.498051 0.444379	0.337721 0.575324 -0.245798 0.703228	0.392806 0.563593 -0.325121 0.649895	
0.544714 0.461002 -0.409773 0.568199	0.493066 0.472843 -0.394855 0.614325	0.467612 0.474302 -0.385096 0.63881	0.44895 0.449652 -0.393372 0.664466	0.449245 0.446575 -0.396858 0.664269	0.458258 0.464788 -0.398381 0.64441	0.495331 0.446087 -0.406369 0.624915	0.575972 0.517707 -0.224412 0.591503	0.115132 0.131238 -0.612848 0.770674	-0.054039 -0.166008 0.867124 -0.466495	-0.0338235 -0.352049 0.835544 -0.420457	0.300482 0.370122 -0.415282 0.774765	0.535952 0.770971 0.0268187 0.342986	0.740687 0.577082 0.127442 0.319558	0.697432 0.57031 0.188732 0.390789	0.682488 0.335295 -0.435523 0.481775	0.577955 0.412277 -0.363499 0.603212	0.578083 0.380929 -0.397662 0.602144	0.643183 0.378269 -0.512983 0.424355	0.337549 0.58674 -0.248948 0.692692	0.391319 0.573609 -0.330742 0.639102	
0.535346 0.466142 -0.411608 0.571572	0.482267 0.479208 -0.394429 0.618227	0.456084 0.481031 -0.383529 0.643042	0.436099 0.454503 -0.389674 0.671862	0.43632 0.450703 -0.393548 0.67202	0.449316 0.465875 -0.398629 0.649747	0.492478 0.446124 -0.407503 0.626402	0.561292 0.528718 -0.223519 0.596195	0.111039 0.138355 -0.603208 0.777604	-0.0445801 -0.17171 0.868919 -0.462069	-0.0307671 -0.360503 0.837049 -0.410413	0.287062 0.36626 -0.410967 0.783936	0.524896 0.777057 0.0221664 0.346664	0.737925 0.578619 0.127421 0.323158	0.699023 0.569904 0.181962 0.391747	0.685534 0.333785 -0.440729 0.473696	0.574982 0.416375 -0.363713 0.603109	0.576087 0.384385 -0.396537 0.602603	0.644559 0.377974 -0.524512 0.408127	0.344231 0.593403 -0.256612 0.680829	0.402614 0.577918 -0.332462 0.627201	
0.524992 0.471433 -0.414977 0.574394	0.470935 0.48582 -0.395318 0.621227	0.44399 0.48813 -0.383154 0.646371	0.423131 0.459406 -0.386188 0.678797	0.423235 0.454847 -0.390184 0.679517	0.438958 0.467154 -0.397956 0.656288	0.487414 0.447371 -0.407904 0.629206	0.547239 0.538898 -0.222765 0.600412	0.107536 0.144374 -0.594269 0.78386	-0.0366914 -0.176243 0.869221 -0.460485	-0.0283986 -0.367986 0.837264 -0.403447	0.275405 0.361146 -0.406263 0.792891	0.514271 0.781793 0.0189067 0.352091	0.73505 0.579117 0.129246 0.328056	0.698944 0.568517 0.178395 0.395527	0.688741 0.332006 -0.445203 0.46605	0.572573 0.419876 -0.363507 0.603097	0.57433 0.38754 -0.395044 0.603239	0.645297 0.378145 -0.531704 0.397353	0.358894 0.593852 -0.270264 0.667452	0.425495 0.575606 -0.336192 0.612051	
0.515198 0.475656 -0.419532 0.576468	0.460155 0.491662 -0.397003 0.62363	0.432318 0.494591 -0.383477 0.649174	0.410479 0.463837 -0.383005 0.685324	0.41036 0.45859 -0.38701 0.686676	0.427718 0.468526 -0.396273 0.663709	0.48074 0.449015 -0.407138 0.633651	0.533817 0.548274 -0.221895 0.604316	0.104602 0.149079 -0.586593 0.78914	-0.0308946 -0.179476 0.867481 -0.462936	-0.0279867 -0.37297 0.836236 -0.401022	0.265382 0.355785 -0.401248 0.801242	0.504619 0.785021 0.0164368 0.35893	0.73261 0.578085 0.132343 0.334046	0.69706 0.566129 0.179429 0.401759	0.692499 0.329681 -0.448672 0.458747	0.570573 0.422751 -0.362324 0.603697	0.572744 0.391327 -0.393278 0.603457	0.644641 0.380324 -0.533723 0.393613	0.381193 0.587806 -0.289811 0.652062	0.454536 0.567922 -0.349489 0.590525	
0.506976 0.478354 -0.425804 0.576926	0.450471 0.496448 -0.400078 0.624942	0.421367 0.500152 -0.385023 0.651195	0.398685 0.467701 -0.380667 0.690941	0.398231 0.461876 -0.384445 0.693026	0.415927 0.470144 -0.393704 0.671541	0.472635 0.450743 -0.405288 0.639678	0.521616 0.556618 -0.221755 0.607386	0.101535 0.153327 -0.580467 0.793246	-0.0265454 -0.181972 0.86308 -0.470398	-0.0293559 -0.373877 0.834153 -0.404404	0.256769 0.350425 -0.396609 0.808686	0.496462 0.78657 0.0146939 0.366902	0.730467 0.575834 0.136277 0.340971	0.693422 0.562173 0.183983 0.411433	0.695787 0.327966 -0.45186 0.45182	0.568031 0.426222 -0.360658 0.60465	0.571298 0.390853 -0.392328 0.605748	0.641155 0.385666 -0.53194 0.396512	0.408047 0.577076 -0.314136 0.633876	0.483304 0.55791 -0.373557 0.561791	
0.500753 0.480642 -0.431872 0.575948	0.442677 0.500363 -0.403798 0.624997	0.412319 0.504615 -0.387492 0.652078	0.387938 0.470741 -0.379217 0.695774	0.38672 0.464555 -0.38269 0.698703	0.40367 0.471983 -0.39076 0.679403	0.464609 0.452639 -0.402387 0.64602	0.510376 0.563724 -0.222941 0.609942	0.0990323 0.156823 -0.576051 0.796093	-0.0242113 -0.183888 0.856609 -0.481478	-0.0304414 -0.368528 0.830902 -0.415767	0.249745 0.344723 -0.392751 0.815193	0.490184 0.78635 0.0135853 0.375751	0.728653 0.572443 0.140722 0.34867	0.689296 0.556573 0.19161 0.422354	0.698372 0.326791 -0.455728 0.444743	0.564595 0.430592 -0.359264 0.6056	0.570619 0.391762 -0.389984 0.607313	0.63651 0.391752 -0.526657 0.404991	0.4363 0.561707 -0.339592 0.615471	0.50632 0.543857 -0.40509 0.532692	
0.495929 0.483083 -0.437725 0.573657	0.436451 0.504138 -0.407735 0.623785	0.404699 0.508891 -0.390217 0.651905	0.378624 0.473212 -0.378694 0.699503	0.376446 0.466548 -0.382032 0.70333	0.391745 0.473341 -0.387759 0.687115	0.45809 0.454057 -0.398235 0.652223	0.500413 0.56882 -0.225741 0.61243	0.0993852 0.158599 -0.573734 0.79737	-0.026075 -0.185341 0.849011 -0.494115	-0.0248576 -0.356623 0.824038 -0.439503	0.244848 0.338183 -0.391588 0.819964	0.485503 0.784641 0.013122 0.385297	0.727591 0.567438 0.145994 0.356807	0.684287 0.545769 0.201443 0.439669	0.700612 0.325766 -0.460437 0.437054	0.559986 0.435994 -0.357821 0.606868	0.570568 0.393216 -0.386769 0.608476	0.633468 0.395025 -0.51925 0.415996	0.461301 0.543891 -0.360344 0.601279	0.521461 0.527752 -0.438934 0.506847	
0.490543 0.485948 -0.444247 0.570847	0.430789 0.508286 -0.412235 0.621392	0.398001 0.513554 -0.393644 0.650309	0.370649 0.475822 -0.379074 0.701795	0.367551 0.468562 -0.382254 0.706568	0.380499 0.473456 -0.384937 0.694898	0.452787 0.453722 -0.393051 0.659266	0.491726 0.57186 -0.229351 0.615289	0.101806 0.160439 -0.573457 0.796895	-0.0309858 -0.18747 0.839347 -0.509305	-0.0133222 -0.339979 0.81395 -0.470874	0.241057 0.331949 -0.392326 0.823275	0.482389 0.781561 0.0123568 0.395362	0.728182 0.55972 0.151748 0.365289	0.678137 0.531887 0.211551 0.460948	0.703846 0.324038 -0.465963 0.427175	0.553885 0.442833 -0.354995 0.609171	0.568967 0.396016 -0.383827 0.61002	0.633477 0.393602 -0.512696 0.425356	0.478455 0.528179 -0.372568 0.594391	0.529042 0.514122 -0.465287 0.489184	
0.484366 0.488226 -0.45225 0.567886	0.425101 0.512418 -0.417519 0.618381	0.391601 0.518467 -0.397806 0.647759	0.36401 0.479082 -0.380284 0.702397	0.360333 0.471081 -0.383242 0.708074	0.371142 0.47248 -0.382874 0.701729	0.449604 0.451574 -0.388067 0.665839	0.483968 0.574982 -0.234018 0.616771	0.103874 0.165047 -0.575494 0.794214	-0.0368463 -0.191501 0.824623 -0.531005	0.00310388 -0.319941 0.797116 -0.512089	0.237662 0.32675 -0.394234 0.825428	0.479826 0.776871 0.0121647 0.407541	0.730171 0.548281 0.160003 0.375016	0.675067 0.513746 0.222657 0.480389	0.709312 0.320102 -0.472137 0.414123	0.546635 0.450327 -0.350121 0.613034	0.565258 0.400015 -0.380336 0.613038	0.637645 0.386261 -0.509836 0.429276	0.483016 0.519233 -0.373534 0.597967	0.533006 0.503827 -0.473951 0.487271	
0.478505 0.490512 -0.461104 0.56375	0.41929 0.516598 -0.424093 0.614384	0.385259 0.523458 -0.403413 0.644069	0.357898 0.483127 -0.383413 0.701065	0.353832 0.474525 -0.386105 0.707497	0.36313 0.472443 -0.382922 0.705907	0.446224 0.449126 -0.38537 0.671312	0.477104 0.578824 -0.240155 0.616165	0.104211 0.17205 -0.577103 0.791512	-0.0415838 -0.196804 0.80601 -0.556675	0.0186469 -0.309441 0.77803 -0.546414	0.23362 0.32416 -0.397057 0.826249	0.478369 0.771675 0.00837525 0.419058	0.736312 0.531192 0.167416 0.384255	0.674772 0.491269 0.2349 0.498156	0.715679 0.314855 -0.478813 0.399259	0.538686 0.458121 -0.344268 0.617594	0.559625 0.405944 -0.37539 0.617342	0.643855 0.374851 -0.513154 0.426157	0.472287 0.520154 -0.365075 0.610823	0.535084 0.498363 -0.461612 0.502228	
0.475324 0.493002 -0.468927 0.557785	0.41539 0.520027 -0.431438 0.609003	0.381127 0.52729 -0.410401 0.638966	0.352514 0.4873 -0.388008 0.698371	0.347853 0.478496 -0.390398 0.705429	0.356901 0.474043 -0.384705 0.707041	0.443157 0.447413 -0.384643 0.674895	0.470047 0.584829 -0.246924 0.613237	0.101431 0.182124 -0.575814 0.790557	-0.0423133 -0.204125 0.785912 -0.582138	0.0342439 -0.307479 0.753832 -0.579674	0.227931 0.324434 -0.400969 0.825841	0.478994 0.766499 -0.000915913 0.427835	0.747579 0.508018 0.171814 0.391821	0.678787 0.462523 0.246083 0.514552	0.721042 0.309962 -0.485104 0.385612	0.531114 0.465331 -0.338923 0.621704	0.554855 0.410733 -0.370997 0.621125	0.647879 0.363944 -0.523073 0.417365	0.447839 0.531448 -0.351601 0.6272	0.528541 0.502691 -0.439484 0.524213	
0.475031 0.495744 -0.474809 0.550582	0.414907 0.522207 -0.438781 0.602183	0.380922 0.529236 -0.418266 0.632346	0.348553 0.490686 -0.394366 0.694416	0.34271 0.482265 -0.39662 0.701899	0.352271 0.477365 -0.388709 0.704934	0.44029 0.446832 -0.386386 0.67616	0.460318 0.593251 -0.251703 0.610578	0.0952373 0.196155 -0.570791 0.791613	-0.0381608 -0.214687 0.764961 -0.606043	0.0598659 -0.323496 0.72488 -0.605239	0.22196 0.325684 -0.407979 0.82354	0.481087 0.759735 -0.0121731 0.437275	0.75944 0.481553 0.175716 0.400601	0.679918 0.43224 0.255182 0.534567	0.724411 0.306868 -0.490241 0.375134	0.524304 0.471871 -0.334428 0.624981	0.55214 0.413439 -0.368269 0.623368	0.647943 0.356052 -0.536404 0.407021	0.41487 0.549571 -0.335372 0.642947	0.504391 0.518979 -0.422121 0.545953	
0.476945 0.498723 -0.478887 0.542647	0.416859 0.52409 -0.444944 0.594628	0.38316 0.530535 -0.425294 0.625177	0.34679 0.493107 -0.401982 0.689198	0.339632 0.485276 -0.404526 0.69679	0.349549 0.481595 -0.393229 0.700894	0.438307 0.447342 -0.387141 0.676679	0.454018 0.59934 -0.254815 0.608052	0.0918178 0.208651 -0.563997 0.793689	-0.0357969 -0.225132 0.747131 -0.624363	0.0768541 -0.342638 0.700052 -0.621787	0.217459 0.326721 -0.418862 0.818852	0.485169 0.752747 -0.0272151 0.44412	0.773716 0.450977 0.177095 0.408192	0.684254 0.397219 0.256721 0.555075	0.725854 0.305539 -0.494276 0.368068	0.518428 0.477531 -0.3311 0.627351	0.551978 0.413853 -0.36686 0.624067	0.645392 0.349963 -0.550268 0.397743	0.378124 0.569768 -0.317229 0.657079	0.463066 0.540905 -0.417459 0.564553	
0.48045 0.500386 -0.481423 0.535737	0.420196 0.525291 -0.448913 0.588202	0.386495 0.531526 -0.429798 0.619173	0.347673 0.494908 -0.40958 0.68296	0.339507 0.487534 -0.413089 0.690219	0.350293 0.484654 -0.397696 0.695876	0.438761 0.447487 -0.385955 0.676966	0.453109 0.601345 -0.254831 0.606743	0.0958556 0.21626 -0.55691 0.796175	-0.0402063 -0.23311 0.734302 -0.636274	0.0871083 -0.362626 0.678668 -0.632712	0.215914 0.327127 -0.432104 0.812191	0.490304 0.746186 -0.0457814 0.448009	0.789535 0.416926 0.176108 0.41448	0.693883 0.358623 0.249584 0.572384	0.726327 0.305136 -0.497375 0.363262	0.513658 0.48217 -0.328637 0.62902	0.553209 0.413059 -0.366456 0.62374	0.640268 0.345335 -0.563704 0.391202	0.340659 0.589365 -0.299444 0.668531	0.410692 0.562147 -0.421187 0.581313	
