Hips,Spine,Spine1,Spine2,Spine3,Neck,Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
0.388332 0.581102 0.621999 0.35304,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.130941 -0.681233 0.131169 0.708217,NaN NaN NaN NaN,-0.374486 0.013479 0.924461 -0.070357,NaN NaN NaN NaN,-0.558571 -0.26245 -0.673349 0.407088,-0.525332 0.255966 0.768959 0.259248,NaN NaN NaN NaN,NaN NaN NaN NaN,0.574941 0.266974 -0.486631 0.601131,0.514792 0.329134 -0.63324 0.475044,NaN NaN NaN NaN,-0.610625 0.374582 0.626798 0.306513,0.744162 0.17626 -0.605269 0.220918,-0.311708 0.432175 0.832327 0.152624,0.554423 -0.382423 0.495391 0.548594,0.214469 -0.919303 0.025783 0.328968,0.34406 0.540809 -0.340772 0.687766
0.382343 0.581924 0.625941 0.351249,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.132729 -0.681075 0.132254 0.707834,NaN NaN NaN NaN,-0.377731 0.018616 0.922872 -0.072668,NaN NaN NaN NaN,-0.561837 -0.263545 -0.665132 0.415311,-0.519807 0.253512 0.777113 0.24825,NaN NaN NaN NaN,NaN NaN NaN NaN,0.570541 0.273452 -0.478926 0.608553,0.508952 0.334583 -0.630427 0.481232,NaN NaN NaN NaN,-0.616389 0.36789 0.62484 0.307079,0.745513 0.179327 -0.601742 0.223515,-0.312423 0.430202 0.832833 0.153968,0.558236 -0.366676 0.498196 0.552921,0.22474 -0.917873 0.027532 0.32595,0.332498 0.530889 -0.329998 0.70619
0.37678 0.584183 0.628678 0.348612,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.138317 -0.6807 0.13683 0.706253,NaN NaN NaN NaN,-0.380276 0.021049 0.921642 -0.074319,NaN NaN NaN NaN,-0.56551 -0.26295 -0.658138 0.421794,-0.512193 0.254438 0.784932 0.23833,NaN NaN NaN NaN,NaN NaN NaN NaN,0.56797 0.278096 -0.472433 0.613906,0.502473 0.341369 -0.626796 0.487971,NaN NaN NaN NaN,-0.621928 0.363596 0.62064 0.30953,0.748358 0.179768 -0.598868 0.221364,-0.313544 0.428468 0.833063 0.155276,0.563156 -0.352045 0.49961 0.556156,0.240251 -0.913056 0.051941 0.32544,0.319112 0.52401 -0.323656 0.720297
0.370812 0.585969 0.632084 0.345844,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.145119 -0.678671 0.14328 0.705562,NaN NaN NaN NaN,-0.381356 0.020829 0.921086 -0.075732,NaN NaN NaN NaN,-0.568828 -0.261661 -0.652152 0.427394,-0.503019 0.258233 0.792469 0.228649,NaN NaN NaN NaN,NaN NaN NaN NaN,0.566243 0.281736 -0.466857 0.618093,0.495546 0.348949 -0.622798 0.494765,NaN NaN NaN NaN,-0.627665 0.359356 0.616198 0.311769,0.74882 0.183262 -0.596492 0.22334,-0.314999 0.426464 0.833277 0.156698,0.566257 -0.339656 0.499364 0.560911,0.250614 -0.909016 0.066816 0.326217,0.304023 0.521683 -0.321371 0.729478
0.364671 0.587983 0.635404 0.342859,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.150479 -0.67729 0.148514 0.704683,NaN NaN NaN NaN,-0.380535 0.01867 0.921346 -0.077236,NaN NaN NaN NaN,-0.571882 -0.259994 -0.646857 0.432355,-0.493026 0.264113 0.799572 0.218756,NaN NaN NaN NaN,NaN NaN NaN NaN,0.563569 0.28697 -0.460641 0.622774,0.488866 0.356637 -0.618748 0.500971,NaN NaN NaN NaN,-0.633333 0.354475 0.61243 0.313315,0.748774 0.186221 -0.595062 0.224856,-0.316711 0.423948 0.83363 0.158185,0.572178 -0.326225 0.499657 0.562612,0.252509 -0.90309 0.066755 0.340898,0.287795 0.523415 -0.32339 0.733914
0.359763 0.591515 0.636699 0.33955,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.153909 -0.67744 0.151879 0.703079,NaN NaN NaN NaN,-0.377958 0.015172 0.922303 -0.079213,NaN NaN NaN NaN,-0.57468 -0.258763 -0.641698 0.437045,-0.482829 0.271017 0.806366 0.207845,NaN NaN NaN NaN,NaN NaN NaN NaN,0.560031 0.293394 -0.454279 0.627627,0.483103 0.363392 -0.615269 0.505967,NaN NaN NaN NaN,-0.638673 0.348887 0.60931 0.314828,0.749346 0.188669 -0.593439 0.225197,-0.318701 0.421091 0.834032 0.159697,0.580862 -0.312453 0.500248 0.561003,0.255359 -0.894889 0.075166 0.358212,0.270331 0.527547 -0.330183 0.734571
0.355312 0.595784 0.636982 0.336228,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.155997 -0.677324 0.154188 0.702227,NaN NaN NaN NaN,-0.374177 0.011089 0.923667 -0.081895,NaN NaN NaN NaN,-0.576527 -0.258713 -0.636474 0.442249,-0.472966 0.278076 0.8128 0.195789,NaN NaN NaN NaN,NaN NaN NaN NaN,0.557325 0.298413 -0.449628 0.63101,0.478654 0.368425 -0.612987 0.509313,NaN NaN NaN NaN,-0.643882 0.342571 0.607106 0.315411,0.749551 0.192969 -0.590841 0.227692,-0.320778 0.418286 0.834345 0.161264,0.58809 -0.300435 0.500488 0.559822,0.259045 -0.888034 0.085632 0.37008,0.25101 0.532641 -0.341419 0.732612
0.349901 0.597509 0.639284 0.334468,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.157427 -0.676543 0.156102 0.702239,NaN NaN NaN NaN,-0.369925 0.006624 0.925118 -0.08526,NaN NaN NaN NaN,-0.577257 -0.259796 -0.631046 0.448399,-0.463662 0.284624 0.818944 0.182585,NaN NaN NaN NaN,NaN NaN NaN NaN,0.557719 0.301015 -0.447234 0.631127,0.475142 0.37212 -0.611884 0.511238,NaN NaN NaN NaN,-0.64907 0.335167 0.606131 0.314607,0.750465 0.196282 -0.588048 0.229075,-0.32304 0.41506 0.834748 0.162993,0.592161 -0.291385 0.499786 0.560941,0.256354 -0.878866 0.087287 0.392757,0.22942 0.537714 -0.355926 0.729072
0.344497 0.598402 0.642231 0.33283,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.159394 -0.676301 0.158049 0.701592,NaN NaN NaN NaN,-0.366061 0.002 0.926265 -0.089601,NaN NaN NaN NaN,-0.57687 -0.26203 -0.625346 0.455526,-0.455194 0.29002 0.824823 0.168383,NaN NaN NaN NaN,NaN NaN NaN NaN,0.559641 0.302755 -0.446089 0.629401,0.472112 0.375031 -0.611745 0.512084,NaN NaN NaN NaN,-0.655456 0.326703 0.605461 0.311543,0.752984 0.19746 -0.584986 0.227633,-0.325483 0.41161 0.835085 0.16514,0.593691 -0.284652 0.498748 0.563698,0.24844 -0.867483 0.083296 0.422862,0.205209 0.542734 -0.371552 0.724761
0.340297 0.600314 0.644023 0.330236,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.162669 -0.676246 0.160916 0.70024,NaN NaN NaN NaN,-0.363036 -0.002533 0.926957 -0.094597,NaN NaN NaN NaN,-0.575877 -0.264968 -0.619161 0.463462,-0.447695 0.293618 0.830565 0.153358,NaN NaN NaN NaN,NaN NaN NaN NaN,0.560756 0.305209 -0.444978 0.628008,0.469263 0.377644 -0.612252 0.512176,NaN NaN NaN NaN,-0.661699 0.318201 0.604956 0.308107,0.754884 0.199849 -0.581608 0.227909,-0.327871 0.408076 0.835404 0.167555,0.5939 -0.279205 0.497968 0.566882,0.242903 -0.855977 0.08605 0.448215,0.178585 0.547349 -0.386479 0.720521
0.336782 0.602488 0.645305 0.327365,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.166878 -0.675326 0.164723 0.699252,NaN NaN NaN NaN,-0.361248 -0.006724 0.927052 -0.10015,NaN NaN NaN NaN,-0.57483 -0.268052 -0.612413 0.471878,-0.441355 0.295154 0.836116 0.137841,NaN NaN NaN NaN,NaN NaN NaN NaN,0.560685 0.3087 -0.443506 0.627406,0.46632 0.380266 -0.613144 0.511858,NaN NaN NaN NaN,-0.667097 0.310416 0.604454 0.305384,0.756929 0.201624 -0.578508 0.227452,-0.330035 0.404468 0.835819 0.169966,0.594474 -0.274842 0.497445 0.568868,0.241268 -0.841842 0.098586 0.472624,0.150215 0.550836 -0.400187 0.716844
0.333023 0.604433 0.646748 0.324766,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.170772 -0.674121 0.168304 0.698621,NaN NaN NaN NaN,-0.360798 -0.010523 0.926535 -0.106054,NaN NaN NaN NaN,-0.573454 -0.271124 -0.605399 0.480764,-0.43616 0.294383 0.841532 0.122174,NaN NaN NaN NaN,NaN NaN NaN NaN,0.55983 0.312941 -0.441584 0.627425,0.463062 0.383477 -0.613962 0.511439,NaN NaN NaN NaN,-0.672031 0.303872 0.603135 0.303751,0.759696 0.20296 -0.575095 0.225689,-0.332026 0.400708 0.83635 0.172369,0.59533 -0.271464 0.497368 0.569662,0.240934 -0.824998 0.115049 0.498089,0.120468 0.553452 -0.412649 0.713372
0.329567 0.605573 0.648337 0.322996,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.173516 -0.673652 0.170445 0.697878,NaN NaN NaN NaN,-0.361602 -0.013996 0.925441 -0.112284,NaN NaN NaN NaN,-0.572225 -0.273862 -0.598405 0.489355,-0.431976 0.291816 0.846662 0.106783,NaN NaN NaN NaN,NaN NaN NaN NaN,0.558948 0.317466 -0.43947 0.627422,0.459538 0.387381 -0.61453 0.510992,NaN NaN NaN NaN,-0.676338 0.29873 0.601063 0.303398,0.761397 0.205778 -0.571667 0.226114,-0.334025 0.396725 0.83693 0.174885,0.596753 -0.269405 0.497877 0.568705,0.23993 -0.807366 0.130414 0.523055,0.089455 0.555548 -0.424036 0.709618
0.326869 0.605705 0.65008 0.321986,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.17572 -0.67382 0.171671 0.696863,NaN NaN NaN NaN,-0.363434 -0.017306 0.923866 -0.118691,NaN NaN NaN NaN,-0.571423 -0.276037 -0.591672 0.497195,-0.428475 0.28834 0.851344 0.092099,NaN NaN NaN NaN,NaN NaN NaN NaN,0.55887 0.321115 -0.43803 0.626642,0.456054 0.391655 -0.614948 0.510352,NaN NaN NaN NaN,-0.680025 0.294559 0.598791 0.303727,0.763 0.208754 -0.568157 0.226826,-0.336222 0.392736 0.837385 0.177481,0.599501 -0.26878 0.499506 0.564667,0.237629 -0.78753 0.144784 0.549879,0.057592 0.556999 -0.43495 0.705162
0.324914 0.605756 0.651692 0.320605,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.178196 -0.673596 0.173102 0.696097,NaN NaN NaN NaN,-0.366035 -0.020233 0.921916 -0.125223,NaN NaN NaN NaN,-0.57088 -0.277815 -0.585411 0.50419,-0.425659 0.284369 0.855447 0.078486,NaN NaN NaN NaN,NaN NaN NaN NaN,0.55964 0.32377 -0.437298 0.625097,0.452767 0.396174 -0.615288 0.50938,NaN NaN NaN NaN,-0.683119 0.290648 0.596836 0.304399,0.765517 0.210227 -0.564745 0.225502,-0.338832 0.388745 0.837621 0.18017,0.603126 -0.268879 0.502781 0.557812,0.236062 -0.765695 0.160609 0.57636,0.025171 0.558101 -0.44519 0.699783
0.324152 0.606449 0.652492 0.318432,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.18134 -0.672689 0.175292 0.695614,NaN NaN NaN NaN,-0.368986 -0.02248 0.91976 -0.131855,NaN NaN NaN NaN,-0.570423 -0.279377 -0.579448 0.510692,-0.423481 0.280352 0.858873 0.06636,NaN NaN NaN NaN,NaN NaN NaN NaN,0.560835 0.325932 -0.437059 0.623067,0.449987 0.400494 -0.6158 0.507846,NaN NaN NaN NaN,-0.686759 0.286189 0.595003 0.304021,0.768766 0.211712 -0.560492 0.223663,-0.341994 0.384655 0.837628 0.182919,0.607763 -0.269118 0.507585 0.548231,0.235174 -0.743366 0.17721 0.60058,-0.007108 0.55881 -0.45427 0.693772
0.323983 0.607344 0.653097 0.315647,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.184781 -0.671627 0.177447 0.695187,NaN NaN NaN NaN,-0.371855 -0.023938 0.917682 -0.137878,NaN NaN NaN NaN,-0.569925 -0.281216 -0.573697 0.516696,-0.421877 0.276718 0.861585 0.055841,NaN NaN NaN NaN,NaN NaN NaN NaN,0.562113 0.327933 -0.437143 0.620802,0.447957 0.404208 -0.616653 0.505657,NaN NaN NaN NaN,-0.690337 0.28113 0.593695 0.303196,0.771579 0.213418 -0.556534 0.222234,-0.345621 0.380453 0.837457 0.185652,0.612966 -0.269459 0.513427 0.53671,0.231557 -0.720357 0.191669 0.625084,-0.038286 0.559036 -0.461573 0.687723
0.32384 0.607696 0.654148 0.312927,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.18772 -0.670607 0.178825 0.695031,NaN NaN NaN NaN,-0.374573 -0.02451 0.915699 -0.143488,NaN NaN NaN NaN,-0.56927 -0.283242 -0.568274 0.522274,-0.420894 0.273017 0.863777 0.046894,NaN NaN NaN NaN,NaN NaN NaN NaN,0.562855 0.329847 -0.437788 0.618658,0.446715 0.407256 -0.617808 0.502893,NaN NaN NaN NaN,-0.694013 0.276204 0.59222 0.302212,0.774805 0.215937 -0.551458 0.221227,-0.349542 0.376323 0.837095 0.188345,0.61525 -0.271713 0.519448 0.52708,0.226634 -0.698687 0.204181 0.647135,-0.068302 0.55975 -0.465751 0.681976
0.324104 0.60797 0.654943 0.31045,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190648 -0.669635 0.179728 0.694939,NaN NaN NaN NaN,-0.376727 -0.024272 0.914023 -0.148489,NaN NaN NaN NaN,-0.568591 -0.285239 -0.563534 0.527041,-0.420394 0.269469 0.865507 0.039401,NaN NaN NaN NaN,NaN NaN NaN NaN,0.562699 0.332425 -0.438161 0.617153,0.446164 0.409717 -0.619137 0.499739,NaN NaN NaN NaN,-0.69788 0.270526 0.591219 0.3004,0.778482 0.218413 -0.545875 0.219732,-0.353673 0.371946 0.836701 0.191057,0.613323 -0.278096 0.52373 0.521732,0.224644 -0.67663 0.218418 0.666334,-0.098711 0.561544 -0.46533 0.677047
0.324467 0.608986 0.655043 0.307856,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.19402 -0.668531 0.180701 0.694817,NaN NaN NaN NaN,-0.377988 -0.023106 0.912845 -0.152659,NaN NaN NaN NaN,-0.56812 -0.286869 -0.559772 0.53066,-0.420285 0.266072 0.866861 0.033425,NaN NaN NaN NaN,NaN NaN NaN NaN,0.56171 0.335977 -0.438072 0.616194,0.446114 0.411803 -0.620432 0.496452,NaN NaN NaN NaN,-0.701486 0.264824 0.590544 0.2984,0.781908 0.221525 -0.539986 0.219,-0.358024 0.367043 0.836329 0.194041,0.609498 -0.287021 0.526069 0.519021,0.236301 -0.65124 0.243189 0.678901,-0.129297 0.562794 -0.460484 0.674165
0.325011 0.609516 0.655337 0.305601,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.197038 -0.666845 0.181278 0.695437,NaN NaN NaN NaN,-0.378368 -0.021503 0.912163 -0.155993,NaN NaN NaN NaN,-0.567905 -0.288165 -0.557054 0.533043,-0.42055 0.263361 0.867719 0.029033,NaN NaN NaN NaN,NaN NaN NaN NaN,0.560358 0.33986 -0.438052 0.615309,0.446404 0.413768 -0.621372 0.493372,NaN NaN NaN NaN,-0.704263 0.259832 0.590102 0.29712,0.785569 0.225188 -0.533202 0.218787,-0.362712 0.361489 0.835938 0.197419,0.60745 -0.296348 0.526162 0.516077,0.253292 -0.628373 0.268238 0.684864,-0.158496 0.562888 -0.45232 0.673382
0.32575 0.609082 0.656324 0.303555,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.198969 -0.664963 0.180668 0.696846,NaN NaN NaN NaN,-0.377841 -0.02018 0.911978 -0.158508,NaN NaN NaN NaN,-0.567409 -0.289494 -0.555453 0.53452,-0.421362 0.26157 0.867954 0.026293,NaN NaN NaN NaN,NaN NaN NaN NaN,0.55889 0.343791 -0.438282 0.614296,0.446974 0.415774 -0.621705 0.490743,NaN NaN NaN NaN,-0.706224 0.255458 0.590021 0.29642,0.790083 0.228132 -0.525899 0.217151,-0.367903 0.355362 0.835416 0.201111,0.606809 -0.30548 0.524807 0.512876,0.259055 -0.611001 0.281828 0.692922,-0.183253 0.560644 -0.443152 0.675065
0.327294 0.608709 0.656743 0.301732,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.200525 -0.663658 0.179398 0.697972,NaN NaN NaN NaN,-0.37636 -0.019212 0.912304 -0.160268,NaN NaN NaN NaN,-0.567011 -0.290843 -0.554815 0.534873,-0.422849 0.260616 0.867553 0.025086,NaN NaN NaN NaN,NaN NaN NaN NaN,0.557653 0.347811 -0.43875 0.61282,0.447832 0.417759 -0.62139 0.488669,NaN NaN NaN NaN,-0.707473 0.252228 0.590011 0.296227,0.795321 0.231092 -0.517566 0.21491,-0.373947 0.348845 0.834484 0.2052,0.611079 -0.30995 0.524068 0.505832,0.26096 -0.597632 0.290117 0.700406,-0.201021 0.556553 -0.435369 0.678449
0.329297 0.609685 0.655896 0.299413,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.202276 -0.661693 0.178137 0.699653,NaN NaN NaN NaN,-0.373867 -0.018608 0.9132 -0.161066,NaN NaN NaN NaN,-0.56677 -0.291862 -0.555071 0.534307,-0.424987 0.260171 0.866642 0.025056,NaN NaN NaN NaN,NaN NaN NaN NaN,0.557052 0.351596 -0.43975 0.610487,0.448956 0.419811 -0.620255 0.48732,NaN NaN NaN NaN,-0.70825 0.249141 0.590423 0.296163,0.80087 0.233909 -0.508758 0.21227,-0.381063 0.341883 0.833009 0.209768,0.622616 -0.309172 0.52384 0.492294,0.257387 -0.595236 0.288087 0.704593,-0.21006 0.554673 -0.428899 0.681365
0.331649 0.610876 0.654605 0.297207,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.204817 -0.658869 0.17769 0.701689,NaN NaN NaN NaN,-0.370666 -0.018521 0.914514 -0.161023,NaN NaN NaN NaN,-0.566487 -0.292294 -0.556355 0.533034,-0.427969 0.259419 0.86538 0.025708,NaN NaN NaN NaN,NaN NaN NaN NaN,0.556907 0.355049 -0.441407 0.607417,0.45037 0.421892 -0.618354 0.486635,NaN NaN NaN NaN,-0.708471 0.246363 0.591315 0.296177,0.806522 0.236662 -0.499587 0.209587,-0.389445 0.334403 0.830908 0.214708,0.630676 -0.306764 0.523715 0.483597,0.258497 -0.597078 0.285222 0.703794,-0.209706 0.556144 -0.424197 0.683216
0.334195 0.611637 0.653497 0.295221,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.206754 -0.656197 0.176533 0.703914,NaN NaN NaN NaN,-0.367079 -0.019445 0.916058 -0.160353,NaN NaN NaN NaN,-0.565434 -0.29252 -0.558281 0.532013,-0.431842 0.257743 0.863928 0.026643,NaN NaN NaN NaN,NaN NaN NaN NaN,0.556062 0.358736 -0.443494 0.604497,0.452125 0.42393 -0.615767 0.486516,NaN NaN NaN NaN,-0.707734 0.243683 0.593387 0.296012,0.812018 0.240127 -0.489601 0.207983,-0.399151 0.326773 0.827887 0.220231,0.632576 -0.308036 0.519516 0.484834,0.267433 -0.602573 0.283996 0.696227,-0.19121 0.551527 -0.427294 0.690418
0.336613 0.611502 0.652965 0.293928,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.207017 -0.653209 0.173917 0.707259,NaN NaN NaN NaN,-0.363344 -0.02135 0.917693 -0.159264,NaN NaN NaN NaN,-0.563949 -0.29255 -0.560699 0.531029,-0.436555 0.254885 0.862372 0.027695,NaN NaN NaN NaN,NaN NaN NaN NaN,0.554178 0.363428 -0.445174 0.602185,0.454154 0.425855 -0.612755 0.486747,NaN NaN NaN NaN,-0.706012 0.241211 0.596914 0.295056,0.818318 0.243569 -0.477996 0.206277,-0.410425 0.319067 0.823636 0.226652,0.631013 -0.316235 0.511266 0.490332,0.260522 -0.618494 0.268378 0.691062,-0.180761 0.551416 -0.426845 0.693591
0.337477 0.610846 0.653216 0.293742,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.207029 -0.650344 0.170845 0.710636,NaN NaN NaN NaN,-0.359732 -0.024218 0.919344 -0.157524,NaN NaN NaN NaN,-0.563092 -0.292344 -0.562999 0.529616,-0.442157 0.251201 0.860549 0.029179,NaN NaN NaN NaN,NaN NaN NaN NaN,0.552045 0.369047 -0.445975 0.60013,0.456498 0.427741 -0.609347 0.487178,NaN NaN NaN NaN,-0.703677 0.238391 0.602124 0.292327,0.827409 0.244833 -0.464111 0.200131,-0.42384 0.310924 0.817724 0.234551,0.62908 -0.322691 0.507322 0.492701,0.223446 -0.624989 0.23939 0.708627,-0.155206 0.548469 -0.420818 0.705694
0.337678 0.611343 0.652049 0.295068,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.206643 -0.647783 0.167274 0.713929,NaN NaN NaN NaN,-0.356328 -0.028137 0.920888 -0.155577,NaN NaN NaN NaN,-0.563508 -0.292307 -0.564987 0.527072,-0.448639 0.247393 0.8582 0.03183,NaN NaN NaN NaN,NaN NaN NaN NaN,0.550129 0.375252 -0.446322 0.59778,0.459402 0.429487 -0.605313 0.487941,NaN NaN NaN NaN,-0.700489 0.234592 0.609566 0.287595,0.839203 0.242768 -0.449403 0.186655,-0.439476 0.30146 0.809952 0.244869,0.627312 -0.327769 0.5053 0.49368,0.224314 -0.630254 0.237396 0.704348,-0.134701 0.551969 -0.409798 0.713619
0.337277 0.613738 0.649154 0.296933,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.205413 -0.643536 0.164403 0.718776,NaN NaN NaN NaN,-0.351667 -0.034271 0.922693 -0.154253,NaN NaN NaN NaN,-0.564023 -0.292269 -0.567814 0.523492,-0.455769 0.243708 0.855332 0.035889,NaN NaN NaN NaN,NaN NaN NaN NaN,0.547225 0.379625 -0.448271 0.596224,0.462965 0.430069 -0.601455 0.488832,NaN NaN NaN NaN,-0.695296 0.229308 0.620436 0.281142,0.849693 0.240101 -0.436609 0.17247,-0.456207 0.289519 0.800687 0.258755,0.62926 -0.330378 0.503309 0.49149,0.223942 -0.643191 0.228578 0.695635,-0.120156 0.551141 -0.407765 0.718007
0.331783 0.613094 0.651325 0.299686,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.207033 -0.63992 0.164261 0.721566,NaN NaN NaN NaN,-0.345562 -0.041494 0.92475 -0.153955,NaN NaN NaN NaN,-0.563781 -0.292631 -0.572384 0.51855,-0.463223 0.240468 0.852014 0.040887,NaN NaN NaN NaN,NaN NaN NaN NaN,0.545139 0.380417 -0.452929 0.594106,0.466887 0.42895 -0.598758 0.489394,NaN NaN NaN NaN,-0.688131 0.225229 0.632905 0.274187,0.860357 0.237595 -0.422526 0.157499,-0.474039 0.273118 0.790598 0.275042,0.632878 -0.328863 0.504473 0.486643,0.245446 -0.645135 0.236149 0.683952,-0.114807 0.549141 -0.406039 0.721385
0.324768 0.609047 0.65687 0.303496,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.208555 -0.638732 0.164115 0.722214,NaN NaN NaN NaN,-0.339096 -0.050146 0.926559 -0.15488,NaN NaN NaN NaN,-0.562419 -0.294585 -0.577996 0.512666,-0.470778 0.238515 0.848118 0.046625,NaN NaN NaN NaN,NaN NaN NaN NaN,0.547264 0.379302 -0.458579 0.588505,0.470429 0.426997 -0.597164 0.489659,NaN NaN NaN NaN,-0.680197 0.2226 0.645862 0.265789,0.873595 0.237475 -0.401053 0.139978,-0.493239 0.254624 0.778324 0.293418,0.636488 -0.322194 0.509802 0.480808,0.242722 -0.651488 0.225333 0.682549,-0.112675 0.549987 -0.404286 0.722061
0.320191 0.60807 0.659752 0.304066,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.206877 -0.636898 0.163089 0.724545,NaN NaN NaN NaN,-0.332173 -0.059786 0.928059 -0.157459,NaN NaN NaN NaN,-0.560157 -0.297308 -0.584093 0.506624,-0.478454 0.237823 0.843656 0.052606,NaN NaN NaN NaN,NaN NaN NaN NaN,0.549661 0.375928 -0.465564 0.582924,0.473159 0.424333 -0.597295 0.489183,NaN NaN NaN NaN,-0.669974 0.221562 0.660173 0.257327,0.884648 0.236967 -0.383585 0.118775,-0.513901 0.233487 0.763669 0.313366,0.650539 -0.311165 0.516165 0.462113,0.258836 -0.652018 0.230573 0.674324,-0.111992 0.551497 -0.402556 0.721982
0.321432 0.611528 0.656399 0.303077,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.2064 -0.634312 0.163658 0.726817,NaN NaN NaN NaN,-0.325093 -0.070118 0.929164 -0.161405,NaN NaN NaN NaN,-0.558846 -0.299392 -0.590296 0.499606,-0.4864 0.237506 0.838819 0.058214,NaN NaN NaN NaN,NaN NaN NaN NaN,0.550267 0.373023 -0.471854 0.579149,0.474415 0.421868 -0.599015 0.487995,NaN NaN NaN NaN,-0.659593 0.223115 0.673557 0.247946,0.892153 0.238069 -0.371612 0.09639,-0.535211 0.209773 0.747324 0.333244,0.653196 -0.313956 0.518769 0.453482,0.280294 -0.657056 0.23715 0.658387,-0.111522 0.552597 -0.401662 0.721711
0.323546 0.615164 0.651887 0.303208,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.208059 -0.632402 0.165426 0.727608,NaN NaN NaN NaN,-0.318188 -0.080649 0.929723 -0.166936,NaN NaN NaN NaN,-0.557863 -0.30128 -0.595746 0.493059,-0.494951 0.236653 0.833689 0.063099,NaN NaN NaN NaN,NaN NaN NaN NaN,0.548634 0.373275 -0.475097 0.577883,0.473888 0.420069 -0.602034 0.48634,NaN NaN NaN NaN,-0.649618 0.226849 0.685738 0.237274,0.898035 0.242401 -0.359245 0.075617,-0.553972 0.177455 0.734726 0.349002,0.650071 -0.320989 0.521616 0.449768,0.285024 -0.662 0.232133 0.653171,-0.111258 0.553222 -0.401206 0.721526
0.324185 0.615532 0.649496 0.306886,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,0.207816 -0.631078 0.16518 0.728882,NaN NaN NaN NaN,-0.311387 -0.090469 0.929948 -0.173353,NaN NaN NaN NaN,-0.555673 -0.303899 -0.599699 0.489116,-0.50405 0.234178 0.828619 0.066962,NaN NaN NaN NaN,NaN NaN NaN NaN,0.54539 0.374531 -0.476874 0.578678,0.471642 0.419024 -0.606154 0.484303,NaN NaN NaN NaN,-0.642449 0.23312 0.694298 0.225531,0.899379 0.247275 -0.355303 0.061095,-0.572023 0.139447 0.724728 0.35793,0.66021 -0.316167 0.530231 0.427803,0.291938 -0.663178 0.232341 0.648833,-0.110802 0.553304 -0.401032 0.721631
